tarih,cikis_tm,varis_tm,talep_desi,secili_yol,aktarma_tm,tahmini_yol_maliyeti_tl
2026-05-10,Kocaeli,Yalova,4701.08,Kocaeli -> Yalova,,0.0
2026-05-10,Kocaeli,Mersin,4280.4,Kocaeli -> Mersin,,0.0
2026-05-10,Kocaeli,Tekirdağ,3685.2,Kocaeli -> Tekirdağ,,0.0
2026-05-10,Kocaeli,Manisa,3366.48,Kocaeli -> Manisa,,0.0
2026-05-10,Kocaeli,İstanbul,3199.68,Kocaeli -> İstanbul,,0.0
2026-05-10,Kocaeli,Balıkesir,2912.1,Kocaeli -> Balıkesir,,0.0
2026-05-10,Kocaeli,Bilecik,1935.72,Kocaeli -> Bilecik,,0.0
2026-05-10,Manisa,Yalova,455.04,Manisa -> Yalova,,0.0
2026-05-10,Kocaeli,Şanlıurfa,388.12,Kocaeli -> Şanlıurfa,,0.0
2026-05-10,Kocaeli,Eskişehir,145.6,Kocaeli -> Eskişehir,,0.0
2026-05-10,Manisa,Tekirdağ,72.6,Manisa -> Tekirdağ,,0.0
2026-05-10,Manisa,İstanbul,47.32,Manisa -> İstanbul,,0.0
2026-05-10,Kocaeli,Erzincan,13.7,Kocaeli -> Erzincan,,0.0
