tarih,orijinal_cikis_tm,orijinal_varis_tm,aktarma_tm,bacak_no,cikis_tm,varis_tm,arac_turu,kaynak,arac_sayisi,yuklenen_desi,kapasite_desi,doluluk_orani,mesafe_km,maliyet_tl
2026-05-10,Kocaeli,Balıkesir,,1,Kocaeli,Balıkesir,Kamyon,kiralik,1,2912.1,12000.0,0.2427,268.01,7680.15
2026-05-10,Kocaeli,Bilecik,,1,Kocaeli,Bilecik,Kamyonet,spot,1,1935.72,5600.0,0.3457,85.55,6289.9
2026-05-10,Kocaeli,Erzincan,,1,Kocaeli,Erzincan,Kamyonet,spot,1,13.7,5600.0,0.0024,1023.21,23167.85
2026-05-10,Kocaeli,Eskişehir,,1,Kocaeli,Eskişehir,Kamyon,kiralik,1,145.6,12000.0,0.0121,150.55,6505.51
2026-05-10,Kocaeli,Manisa,,1,Kocaeli,Manisa,Kamyonet,spot,1,3366.48,5600.0,0.6012,401.42,11975.65
2026-05-10,Kocaeli,Mersin,,1,Kocaeli,Mersin,Kamyonet,spot,1,4280.4,5600.0,0.7644,749.62,18243.08
2026-05-10,Kocaeli,Tekirdağ,,1,Kocaeli,Tekirdağ,Tır,kiralik,1,3685.2,22400.0,0.1645,257.03,10341.33
2026-05-10,Kocaeli,Yalova,,1,Kocaeli,Yalova,Tır,kiralik,1,4701.08,22400.0,0.2099,72.81,7946.58
2026-05-10,Kocaeli,İstanbul,,1,Kocaeli,İstanbul,Tır,kiralik,1,3199.68,22400.0,0.1428,106.61,8385.94
2026-05-10,Kocaeli,Şanlıurfa,,1,Kocaeli,Şanlıurfa,Kamyonet,spot,1,388.12,5600.0,0.0693,1079.69,24184.48
2026-05-10,Manisa,Tekirdağ,,1,Manisa,Tekirdağ,Kamyonet,spot,1,72.6,5600.0,0.013,328.0,10654.08
2026-05-10,Manisa,Yalova,,1,Manisa,Yalova,Kamyonet,spot,1,455.04,5600.0,0.0813,344.05,10942.88
2026-05-10,Manisa,İstanbul,,1,Manisa,İstanbul,Kamyonet,spot,1,47.32,5600.0,0.0085,370.98,11427.62
