tarih,orijinal_cikis_tm,orijinal_varis_tm,aktarma_tm,bacak_no,cikis_tm,varis_tm,arac_turu,kaynak,arac_sayisi,yuklenen_desi,kapasite_desi,doluluk_orani,mesafe_km,maliyet_tl
2026-05-10,Kocaeli,Manisa,Balıkesir,2,Balıkesir,Manisa,Kamyonet,spot,1,3366.48,5600.0,0.6012,151.2,7471.54
2026-05-10,Kocaeli,Eskişehir,Bilecik,2,Bilecik,Eskişehir,Kamyonet,spot,1,145.6,5600.0,0.026,77.64,6147.45
2026-05-10,Kocaeli,Karma,Balıkesir,1,Kocaeli,Balıkesir,Kamyon,kiralik,1,6278.58,12000.0,0.5232,268.01,7680.15
2026-05-10,Kocaeli,Karma,Bilecik,1,Kocaeli,Bilecik,Kamyonet,spot,1,2081.32,5600.0,0.3717,85.55,6289.9
2026-05-10,Kocaeli,Karma,Mersin,1,Kocaeli,Mersin,Kamyonet,spot,1,4682.22,5600.0,0.8361,749.62,18243.08
2026-05-10,Kocaeli,Karma,Yalova,1,Kocaeli,Yalova,Tır,kiralik,1,11585.96,22400.0,0.5172,72.81,7946.58
2026-05-10,Manisa,Karma,Yalova,1,Manisa,Yalova,Kamyonet,spot,1,574.96,5600.0,0.1027,344.05,10942.88
2026-05-10,Kocaeli,Erzincan,Mersin,2,Mersin,Erzincan,Kamyonet,spot,1,13.7,5600.0,0.0024,670.73,16823.19
2026-05-10,Kocaeli,Şanlıurfa,Mersin,2,Mersin,Şanlıurfa,Kamyonet,spot,1,388.12,5600.0,0.0693,464.95,13119.17
2026-05-10,Karma,Tekirdağ,Yalova,2,Yalova,Tekirdağ,Kamyon,kiralik,1,3757.8,12000.0,0.3131,190.18,6901.83
2026-05-10,Karma,İstanbul,Yalova,2,Yalova,İstanbul,Kamyonet,spot,1,3247.0,5600.0,0.5798,58.29,5799.28
