tarih,cikis_tm,varis_tm,talep_desi,secili_yol,aktarma_tm,tahmini_yol_maliyeti_tl
2026-05-10,Kocaeli,Yalova,4701.08,Kocaeli -> Yalova,,7946.58
2026-05-10,Kocaeli,Mersin,4280.4,Kocaeli -> Mersin,,18243.08
2026-05-10,Kocaeli,Tekirdağ,3685.2,Kocaeli -> Yalova -> Tekirdağ,Yalova,14848.42
2026-05-10,Kocaeli,Manisa,3366.48,Kocaeli -> Balıkesir -> Manisa,Balıkesir,15151.69
2026-05-10,Kocaeli,İstanbul,3199.68,Kocaeli -> Yalova -> İstanbul,Yalova,13745.87
2026-05-10,Kocaeli,Balıkesir,2912.1,Kocaeli -> Balıkesir,,7680.15
2026-05-10,Kocaeli,Bilecik,1935.72,Kocaeli -> Bilecik,,6289.9
2026-05-10,Manisa,Yalova,455.04,Manisa -> Yalova,,10942.88
2026-05-10,Kocaeli,Şanlıurfa,388.12,Kocaeli -> Mersin -> Şanlıurfa,Mersin,31362.25
2026-05-10,Kocaeli,Eskişehir,145.6,Kocaeli -> Bilecik -> Eskişehir,Bilecik,12437.35
2026-05-10,Manisa,Tekirdağ,72.6,Manisa -> Yalova -> Tekirdağ,Yalova,17844.72
2026-05-10,Manisa,İstanbul,47.32,Manisa -> Yalova -> İstanbul,Yalova,16742.17
2026-05-10,Kocaeli,Erzincan,13.7,Kocaeli -> Mersin -> Erzincan,Mersin,35066.27
